method,task,regime,split,success,success_ci95,side_effect_violation,side_effect_violation_ci95,preference_regret,preference_regret_ci95,side_effect_recall,side_effect_recall_ci95,false_alarm,false_alarm_ci95,query_cost,query_cost_ci95,damage_rate,damage_rate_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups
reward_model_rlhf_surrogate,cable_routing,unstable_placement,nominal,0.602,0.0321,0.0929,0.0052,0.0751,0.0027,0.3513,0.0078,0.0702,0.0033,0.1845,0.0,0.0588,0.0024,0.3682,0.0063,7
reward_model_rlhf_surrogate,cable_routing,unstable_placement,seen_shift,0.5391,0.0589,0.1136,0.0046,0.0819,0.0049,0.3381,0.0021,0.0749,0.0022,0.195,0.0,0.0713,0.0022,0.3639,0.0066,7
reward_model_rlhf_surrogate,cable_routing,unstable_placement,unseen_object,0.5051,0.0367,0.132,0.004,0.086,0.0033,0.3333,0.0074,0.0792,0.0029,0.2002,0.0,0.0747,0.0036,0.3504,0.006,7
reward_model_rlhf_surrogate,cable_routing,unstable_placement,unseen_side_effect,0.5034,0.0377,0.1319,0.0022,0.0885,0.0047,0.3145,0.0079,0.0791,0.0031,0.2046,0.0,0.0842,0.0029,0.3485,0.0052,7
reward_model_rlhf_surrogate,cable_routing,unstable_placement,combined_stress,0.4541,0.0206,0.1511,0.005,0.0962,0.0029,0.3086,0.0068,0.0837,0.0034,0.2128,0.0,0.0867,0.0026,0.3384,0.0102,7
reward_model_rlhf_surrogate,cable_routing,irreversible_change,nominal,0.5782,0.0321,0.1021,0.0017,0.078,0.0033,0.3529,0.0087,0.068,0.0029,0.1847,0.0,0.0727,0.0025,0.3698,0.0052,7
reward_model_rlhf_surrogate,cable_routing,irreversible_change,seen_shift,0.5714,0.0279,0.1175,0.0021,0.0855,0.0043,0.3361,0.0057,0.0774,0.0038,0.1952,0.0,0.0846,0.0036,0.3596,0.0051,7
reward_model_rlhf_surrogate,cable_routing,irreversible_change,unseen_object,0.5476,0.0184,0.1435,0.0032,0.0901,0.0022,0.3293,0.0041,0.0766,0.0034,0.2004,0.0,0.091,0.0022,0.3515,0.0085,7
reward_model_rlhf_surrogate,cable_routing,irreversible_change,unseen_side_effect,0.4575,0.0419,0.1419,0.0028,0.0918,0.0019,0.3093,0.0111,0.0812,0.0027,0.2049,0.0,0.1013,0.0033,0.3437,0.0049,7
reward_model_rlhf_surrogate,cable_routing,irreversible_change,combined_stress,0.4745,0.0252,0.1623,0.0018,0.0981,0.0029,0.3163,0.0053,0.0844,0.0051,0.2131,0.0,0.1082,0.0027,0.3422,0.0051,7
reward_model_rlhf_surrogate,cable_routing,combined_side_effect_stress,nominal,0.5697,0.032,0.1316,0.0023,0.0906,0.002,0.3601,0.0086,0.0708,0.002,0.1859,0.0,0.0842,0.0021,0.3718,0.0052,7
reward_model_rlhf_surrogate,cable_routing,combined_side_effect_stress,seen_shift,0.4898,0.0476,0.1593,0.0024,0.0979,0.0024,0.3415,0.0101,0.0758,0.0028,0.1967,0.0,0.1011,0.0014,0.3503,0.007,7
reward_model_rlhf_surrogate,cable_routing,combined_side_effect_stress,unseen_object,0.4847,0.0273,0.1964,0.0045,0.1015,0.0043,0.3362,0.011,0.0789,0.0043,0.2021,0.0,0.1099,0.0022,0.3541,0.0054,7
reward_model_rlhf_surrogate,cable_routing,combined_side_effect_stress,unseen_side_effect,0.466,0.0343,0.1898,0.0026,0.1074,0.0006,0.31,0.0063,0.0787,0.0022,0.2067,0.0,0.119,0.0031,0.3493,0.0044,7
reward_model_rlhf_surrogate,cable_routing,combined_side_effect_stress,combined_stress,0.4405,0.0494,0.2176,0.0025,0.1161,0.0033,0.315,0.0066,0.0845,0.004,0.2152,0.0,0.1334,0.0023,0.3422,0.0086,7
reward_model_rlhf_surrogate,tool_handoff,nominal,nominal,0.5884,0.0274,0.0448,0.0032,0.0614,0.0021,0.353,0.0067,0.0698,0.0032,0.1778,0.0,0.0315,0.0043,0.3739,0.0085,7
reward_model_rlhf_surrogate,tool_handoff,nominal,seen_shift,0.5663,0.0313,0.0472,0.0048,0.0612,0.003,0.349,0.003,0.0741,0.0024,0.1865,0.0,0.0316,0.0023,0.3583,0.0054,7
reward_model_rlhf_surrogate,tool_handoff,nominal,unseen_object,0.5918,0.0333,0.0522,0.0023,0.0656,0.003,0.3337,0.0069,0.0779,0.0016,0.1909,0.0,0.0324,0.0031,0.359,0.0046,7
reward_model_rlhf_surrogate,tool_handoff,nominal,unseen_side_effect,0.5629,0.0425,0.0495,0.0035,0.0629,0.0028,0.3137,0.0094,0.0807,0.0033,0.1946,0.0,0.0334,0.0028,0.3502,0.0066,7
reward_model_rlhf_surrogate,tool_handoff,nominal,combined_stress,0.5612,0.0332,0.0553,0.0021,0.0646,0.0031,0.3179,0.0053,0.0865,0.005,0.2014,0.0,0.0375,0.0027,0.3444,0.0062,7
reward_model_rlhf_surrogate,tool_handoff,force_damage,nominal,0.5833,0.036,0.0879,0.0023,0.0807,0.0024,0.3522,0.0071,0.0715,0.0029,0.1841,0.0,0.084,0.0017,0.375,0.007,7
reward_model_rlhf_surrogate,tool_handoff,force_damage,seen_shift,0.5221,0.0219,0.1061,0.0027,0.0839,0.0031,0.3427,0.0036,0.0779,0.0026,0.1945,0.0,0.0971,0.0026,0.3642,0.0048,7
reward_model_rlhf_surrogate,tool_handoff,force_damage,unseen_object,0.5425,0.0555,0.1173,0.002,0.0866,0.0016,0.3322,0.007,0.08,0.0022,0.1996,0.0,0.1063,0.0041,0.3525,0.0052,7
reward_model_rlhf_surrogate,tool_handoff,force_damage,unseen_side_effect,0.5034,0.0333,0.1367,0.004,0.0903,0.0032,0.312,0.0079,0.0806,0.0022,0.204,0.0,0.1241,0.0032,0.3509,0.0087,7
reward_model_rlhf_surrogate,tool_handoff,force_damage,combined_stress,0.4405,0.0453,0.1439,0.0042,0.0955,0.0021,0.3127,0.0064,0.0871,0.0025,0.2121,0.0,0.1299,0.0013,0.3409,0.0019,7
reward_model_rlhf_surrogate,tool_handoff,object_displacement,nominal,0.5833,0.0472,0.0832,0.0032,0.0734,0.0026,0.3543,0.0098,0.0702,0.0029,0.1837,0.0,0.0524,0.0035,0.368,0.0032,7
reward_model_rlhf_surrogate,tool_handoff,object_displacement,seen_shift,0.5323,0.0237,0.0976,0.0033,0.0767,0.0033,0.3418,0.009,0.0761,0.0024,0.194,0.0,0.0589,0.0023,0.3623,0.003,7
reward_model_rlhf_surrogate,tool_handoff,object_displacement,unseen_object,0.5493,0.0393,0.1132,0.0038,0.0843,0.0032,0.3271,0.0052,0.0746,0.0011,0.1991,0.0,0.0671,0.0024,0.3524,0.0037,7
reward_model_rlhf_surrogate,tool_handoff,object_displacement,unseen_side_effect,0.483,0.0438,0.1122,0.0027,0.0812,0.0035,0.3139,0.0091,0.0823,0.004,0.2034,0.0,0.0699,0.0027,0.3474,0.0048,7
reward_model_rlhf_surrogate,tool_handoff,object_displacement,combined_stress,0.4728,0.0304,0.1283,0.0052,0.0892,0.0026,0.3127,0.0069,0.0854,0.0042,0.2115,0.0,0.0756,0.0028,0.3339,0.0103,7
reward_model_rlhf_surrogate,tool_handoff,clutter_accumulation,nominal,0.5935,0.0552,0.0823,0.0035,0.0765,0.003,0.3426,0.0075,0.0695,0.0024,0.1843,0.0,0.0516,0.0021,0.3705,0.0065,7
reward_model_rlhf_surrogate,tool_handoff,clutter_accumulation,seen_shift,0.534,0.0577,0.1006,0.0034,0.0828,0.0041,0.3342,0.0078,0.0757,0.0023,0.1947,0.0,0.0595,0.0038,0.3579,0.0057,7
reward_model_rlhf_surrogate,tool_handoff,clutter_accumulation,unseen_object,0.5051,0.0254,0.1152,0.0049,0.0864,0.0034,0.326,0.0095,0.0778,0.0024,0.1999,0.0,0.0647,0.0031,0.354,0.0093,7
reward_model_rlhf_surrogate,tool_handoff,clutter_accumulation,unseen_side_effect,0.5221,0.0213,0.1141,0.002,0.0872,0.0027,0.3127,0.0065,0.0808,0.0015,0.2043,0.0,0.0697,0.0022,0.3427,0.0037,7
reward_model_rlhf_surrogate,tool_handoff,clutter_accumulation,combined_stress,0.4932,0.0274,0.1304,0.0022,0.0926,0.0019,0.3067,0.009,0.0857,0.0039,0.2125,0.0,0.0715,0.0028,0.3391,0.006,7
reward_model_rlhf_surrogate,tool_handoff,unstable_placement,nominal,0.5408,0.0509,0.0992,0.0034,0.0822,0.0022,0.3602,0.0067,0.07,0.0039,0.1845,0.0,0.0662,0.0017,0.376,0.0071,7
reward_model_rlhf_surrogate,tool_handoff,unstable_placement,seen_shift,0.5204,0.0446,0.1199,0.0045,0.0913,0.0025,0.3379,0.0065,0.0751,0.0025,0.195,0.0,0.0776,0.0027,0.3622,0.0076,7
reward_model_rlhf_surrogate,tool_handoff,unstable_placement,unseen_object,0.5595,0.0364,0.1344,0.0038,0.0939,0.0026,0.3285,0.0072,0.0781,0.002,0.2002,0.0,0.0813,0.0007,0.3505,0.0043,7
reward_model_rlhf_surrogate,tool_handoff,unstable_placement,unseen_side_effect,0.4847,0.022,0.143,0.003,0.097,0.0039,0.3168,0.0048,0.0821,0.003,0.2046,0.0,0.0936,0.0051,0.3492,0.0034,7
reward_model_rlhf_surrogate,tool_handoff,unstable_placement,combined_stress,0.4218,0.0516,0.1555,0.0027,0.0986,0.0037,0.3039,0.0089,0.0887,0.002,0.2128,0.0,0.0972,0.0036,0.3453,0.0052,7
reward_model_rlhf_surrogate,tool_handoff,irreversible_change,nominal,0.5663,0.0413,0.1005,0.0039,0.0855,0.0021,0.3547,0.0074,0.0685,0.0029,0.1847,0.0,0.0801,0.0026,0.3704,0.0038,7
reward_model_rlhf_surrogate,tool_handoff,irreversible_change,seen_shift,0.5051,0.0463,0.1226,0.003,0.0901,0.0034,0.3466,0.0066,0.0768,0.0036,0.1952,0.0,0.0954,0.0038,0.3555,0.0058,7
reward_model_rlhf_surrogate,tool_handoff,irreversible_change,unseen_object,0.4915,0.0377,0.1403,0.0022,0.0974,0.0024,0.3293,0.0058,0.0781,0.0046,0.2004,0.0,0.1019,0.0032,0.3508,0.0095,7
reward_model_rlhf_surrogate,tool_handoff,irreversible_change,unseen_side_effect,0.466,0.0276,0.1509,0.0055,0.1013,0.0013,0.3114,0.0087,0.08,0.003,0.2049,0.0,0.1173,0.0016,0.3438,0.0019,7
reward_model_rlhf_surrogate,tool_handoff,irreversible_change,combined_stress,0.4371,0.0329,0.1667,0.0048,0.1089,0.0026,0.3075,0.0077,0.0849,0.0021,0.2131,0.0,0.1234,0.0024,0.3381,0.0028,7
reward_model_rlhf_surrogate,tool_handoff,combined_side_effect_stress,nominal,0.5459,0.0533,0.1398,0.0025,0.0961,0.0031,0.346,0.0064,0.0673,0.0024,0.1859,0.0,0.0952,0.0034,0.3732,0.0061,7
reward_model_rlhf_surrogate,tool_handoff,combined_side_effect_stress,seen_shift,0.4915,0.0466,0.1669,0.0025,0.1069,0.0037,0.3371,0.0097,0.0749,0.0018,0.1967,0.0,0.1159,0.0012,0.3569,0.0065,7
reward_model_rlhf_surrogate,tool_handoff,combined_side_effect_stress,unseen_object,0.5017,0.0424,0.1865,0.0024,0.11,0.0027,0.334,0.0035,0.0822,0.0032,0.2021,0.0,0.1232,0.0045,0.3621,0.0065,7
reward_model_rlhf_surrogate,tool_handoff,combined_side_effect_stress,unseen_side_effect,0.4507,0.0393,0.205,0.0026,0.121,0.0034,0.3134,0.0092,0.0787,0.0024,0.2067,0.0,0.1448,0.0023,0.3453,0.0054,7
reward_model_rlhf_surrogate,tool_handoff,combined_side_effect_stress,combined_stress,0.4286,0.0338,0.2273,0.0043,0.1343,0.0041,0.31,0.0035,0.0812,0.0024,0.2152,0.0,0.1492,0.0027,0.3399,0.0067,7
reward_model_rlhf_surrogate,mobile_shelf_placement,nominal,nominal,0.5884,0.0349,0.0466,0.0047,0.0643,0.0022,0.3529,0.0047,0.0706,0.0026,0.1778,0.0,0.0334,0.0028,0.3709,0.0023,7
reward_model_rlhf_surrogate,mobile_shelf_placement,nominal,seen_shift,0.6037,0.0552,0.0478,0.0025,0.0613,0.0028,0.342,0.0084,0.0769,0.0032,0.1865,0.0,0.033,0.0024,0.358,0.0055,7
reward_model_rlhf_surrogate,mobile_shelf_placement,nominal,unseen_object,0.5952,0.0514,0.0552,0.0038,0.0588,0.0034,0.3353,0.0079,0.0763,0.0039,0.1909,0.0,0.034,0.003,0.3556,0.0031,7
reward_model_rlhf_surrogate,mobile_shelf_placement,nominal,unseen_side_effect,0.5612,0.0406,0.0524,0.0038,0.0615,0.0027,0.3096,0.0028,0.0806,0.0034,0.1946,0.0,0.0354,0.0027,0.3505,0.0055,7
reward_model_rlhf_surrogate,mobile_shelf_placement,nominal,combined_stress,0.5952,0.0628,0.059,0.0034,0.0664,0.0036,0.3076,0.0047,0.0818,0.0024,0.2014,0.0,0.0367,0.0016,0.3414,0.0085,7
reward_model_rlhf_surrogate,mobile_shelf_placement,force_damage,nominal,0.5833,0.0581,0.0916,0.0033,0.077,0.0026,0.3468,0.0052,0.0715,0.0026,0.1841,0.0,0.0767,0.0021,0.3702,0.0081,7
reward_model_rlhf_surrogate,mobile_shelf_placement,force_damage,seen_shift,0.5408,0.016,0.1103,0.0064,0.084,0.0039,0.3443,0.0094,0.0757,0.0034,0.1945,0.0,0.0934,0.0018,0.361,0.0033,7
reward_model_rlhf_surrogate,mobile_shelf_placement,force_damage,unseen_object,0.4983,0.0465,0.1246,0.0028,0.0874,0.0036,0.3314,0.0053,0.0776,0.0023,0.1996,0.0,0.0985,0.0029,0.3543,0.0063,7
reward_model_rlhf_surrogate,mobile_shelf_placement,force_damage,unseen_side_effect,0.4592,0.0296,0.1329,0.0032,0.0878,0.0028,0.316,0.0047,0.0804,0.0013,0.204,0.0,0.1157,0.0036,0.3489,0.0073,7
reward_model_rlhf_surrogate,mobile_shelf_placement,force_damage,combined_stress,0.4167,0.0391,0.1461,0.0031,0.0941,0.004,0.3081,0.0084,0.0829,0.003,0.2121,0.0,0.1215,0.0028,0.3394,0.0046,7
reward_model_rlhf_surrogate,mobile_shelf_placement,object_displacement,nominal,0.5969,0.0299,0.0971,0.0015,0.074,0.0041,0.3538,0.0058,0.0706,0.0032,0.1837,0.0,0.0512,0.003,0.3676,0.0063,7
reward_model_rlhf_surrogate,mobile_shelf_placement,object_displacement,seen_shift,0.5357,0.0491,0.118,0.0044,0.0799,0.0028,0.3397,0.0101,0.0779,0.0031,0.194,0.0,0.0588,0.004,0.3631,0.0052,7
reward_model_rlhf_surrogate,mobile_shelf_placement,object_displacement,unseen_object,0.5306,0.0394,0.1502,0.0043,0.0834,0.0031,0.3304,0.0086,0.0814,0.0012,0.1991,0.0,0.0641,0.0025,0.3563,0.0058,7
reward_model_rlhf_surrogate,mobile_shelf_placement,object_displacement,unseen_side_effect,0.5391,0.041,0.1392,0.003,0.0853,0.0039,0.3081,0.0052,0.0805,0.0043,0.2034,0.0,0.0716,0.003,0.3506,0.0059,7
reward_model_rlhf_surrogate,mobile_shelf_placement,object_displacement,combined_stress,0.4983,0.0271,0.1602,0.0031,0.0893,0.0014,0.3067,0.0067,0.086,0.003,0.2115,0.0,0.073,0.0031,0.3393,0.0058,7
reward_model_rlhf_surrogate,mobile_shelf_placement,clutter_accumulation,nominal,0.5986,0.0403,0.1012,0.0039,0.0769,0.0037,0.3522,0.007,0.0704,0.0012,0.1843,0.0,0.052,0.0028,0.3651,0.0053,7
reward_model_rlhf_surrogate,mobile_shelf_placement,clutter_accumulation,seen_shift,0.5459,0.0332,0.1208,0.0045,0.0832,0.004,0.3396,0.0075,0.0749,0.0026,0.1947,0.0,0.0629,0.0022,0.3566,0.0055,7
reward_model_rlhf_surrogate,mobile_shelf_placement,clutter_accumulation,unseen_object,0.5357,0.0517,0.1503,0.0038,0.0859,0.0035,0.3342,0.0065,0.0792,0.0029,0.1999,0.0,0.0637,0.0024,0.3538,0.0038,7
reward_model_rlhf_surrogate,mobile_shelf_placement,clutter_accumulation,unseen_side_effect,0.5391,0.0337,0.1373,0.0035,0.0879,0.0032,0.3152,0.0053,0.0796,0.0043,0.2043,0.0,0.0685,0.0042,0.3496,0.0049,7
reward_model_rlhf_surrogate,mobile_shelf_placement,clutter_accumulation,combined_stress,0.4694,0.0496,0.1642,0.0024,0.0979,0.0027,0.3099,0.0055,0.084,0.0032,0.2125,0.0,0.0721,0.0038,0.3364,0.0046,7
reward_model_rlhf_surrogate,mobile_shelf_placement,unstable_placement,nominal,0.5544,0.0514,0.1137,0.0055,0.0823,0.0035,0.3571,0.0103,0.069,0.0031,0.1845,0.0,0.0639,0.0046,0.3683,0.0029,7
reward_model_rlhf_surrogate,mobile_shelf_placement,unstable_placement,seen_shift,0.5102,0.0294,0.138,0.0024,0.0899,0.0034,0.341,0.0067,0.0754,0.0012,0.195,0.0,0.0746,0.002,0.3515,0.0031,7
reward_model_rlhf_surrogate,mobile_shelf_placement,unstable_placement,unseen_object,0.5017,0.0347,0.1626,0.0017,0.0962,0.0019,0.3434,0.0076,0.0785,0.0048,0.2002,0.0,0.0805,0.0021,0.3557,0.0086,7
reward_model_rlhf_surrogate,mobile_shelf_placement,unstable_placement,unseen_side_effect,0.4711,0.0548,0.1672,0.0033,0.0984,0.0019,0.3094,0.0099,0.0824,0.0031,0.2046,0.0,0.0905,0.0025,0.3492,0.0058,7
reward_model_rlhf_surrogate,mobile_shelf_placement,unstable_placement,combined_stress,0.4609,0.0641,0.1877,0.0022,0.1015,0.0037,0.305,0.0106,0.0861,0.002,0.2128,0.0,0.0926,0.0031,0.3422,0.0037,7
reward_model_rlhf_surrogate,mobile_shelf_placement,irreversible_change,nominal,0.5731,0.0281,0.1177,0.0048,0.085,0.0032,0.3513,0.0063,0.0696,0.0014,0.1847,0.0,0.0771,0.0025,0.3691,0.0069,7
reward_model_rlhf_surrogate,mobile_shelf_placement,irreversible_change,seen_shift,0.5357,0.0334,0.1402,0.0036,0.0924,0.0015,0.3368,0.0084,0.0758,0.0041,0.1952,0.0,0.0912,0.0013,0.357,0.0019,7
reward_model_rlhf_surrogate,mobile_shelf_placement,irreversible_change,unseen_object,0.5,0.0334,0.1674,0.0017,0.0991,0.0028,0.3351,0.01,0.0806,0.0033,0.2004,0.0,0.1019,0.0023,0.3576,0.0043,7
reward_model_rlhf_surrogate,mobile_shelf_placement,irreversible_change,unseen_side_effect,0.5272,0.0521,0.1685,0.0024,0.1003,0.0018,0.3101,0.0046,0.0828,0.002,0.2049,0.0,0.1139,0.0023,0.3485,0.0036,7
reward_model_rlhf_surrogate,mobile_shelf_placement,irreversible_change,combined_stress,0.4473,0.0356,0.1921,0.0043,0.112,0.0032,0.3159,0.0076,0.0866,0.0031,0.2131,0.0,0.1189,0.0023,0.3378,0.0053,7
reward_model_rlhf_surrogate,mobile_shelf_placement,combined_side_effect_stress,nominal,0.5612,0.0454,0.1574,0.0022,0.0959,0.0046,0.3504,0.0073,0.073,0.0027,0.1859,0.0,0.0916,0.0023,0.3723,0.0044,7
reward_model_rlhf_surrogate,mobile_shelf_placement,combined_side_effect_stress,seen_shift,0.5051,0.0416,0.1917,0.0029,0.1066,0.0026,0.3418,0.0054,0.0766,0.0018,0.1967,0.0,0.1153,0.0036,0.3597,0.0057,7
reward_model_rlhf_surrogate,mobile_shelf_placement,combined_side_effect_stress,unseen_object,0.4711,0.0446,0.2282,0.003,0.1183,0.0019,0.3304,0.0055,0.0776,0.0025,0.2021,0.0,0.1209,0.0034,0.3587,0.0053,7
reward_model_rlhf_surrogate,mobile_shelf_placement,combined_side_effect_stress,unseen_side_effect,0.4218,0.0325,0.2279,0.0026,0.1194,0.0022,0.3095,0.0093,0.0819,0.0029,0.2067,0.0,0.1383,0.0036,0.3523,0.005,7
reward_model_rlhf_surrogate,mobile_shelf_placement,combined_side_effect_stress,combined_stress,0.4048,0.0411,0.2608,0.0037,0.1323,0.0027,0.3143,0.0061,0.0862,0.0019,0.2152,0.0,0.1485,0.0035,0.3385,0.0067,7
uncertainty_query_preference_learner,table_clearing,nominal,nominal,0.6088,0.0369,0.0347,0.0045,0.0582,0.0027,0.4369,0.0059,0.0729,0.0033,0.3187,0.0,0.0305,0.0028,0.4618,0.0063,7
uncertainty_query_preference_learner,table_clearing,nominal,seen_shift,0.585,0.0246,0.0387,0.0023,0.059,0.0035,0.4251,0.0095,0.076,0.0011,0.3274,0.0,0.0292,0.0039,0.4554,0.0043,7
uncertainty_query_preference_learner,table_clearing,nominal,unseen_object,0.5901,0.0391,0.0402,0.0045,0.0577,0.004,0.4198,0.0042,0.0774,0.0021,0.3318,0.0,0.0323,0.0023,0.4503,0.0068,7
uncertainty_query_preference_learner,table_clearing,nominal,unseen_side_effect,0.5833,0.0306,0.0437,0.0045,0.0588,0.0048,0.4027,0.0066,0.0819,0.0026,0.3355,0.0,0.0313,0.0026,0.4387,0.0087,7
uncertainty_query_preference_learner,table_clearing,nominal,combined_stress,0.5578,0.0219,0.0416,0.0018,0.061,0.0051,0.3946,0.0086,0.0867,0.0037,0.3423,0.0,0.0307,0.0033,0.4269,0.0059,7
uncertainty_query_preference_learner,table_clearing,force_damage,nominal,0.5748,0.0313,0.0637,0.005,0.0669,0.0038,0.4332,0.0078,0.0732,0.004,0.3251,0.0,0.0618,0.0038,0.4663,0.0056,7
uncertainty_query_preference_learner,table_clearing,force_damage,seen_shift,0.5408,0.0264,0.0735,0.002,0.0724,0.0021,0.4232,0.0054,0.0778,0.0023,0.3354,0.0,0.0711,0.0024,0.4504,0.0048,7
uncertainty_query_preference_learner,table_clearing,force_damage,unseen_object,0.534,0.0362,0.0854,0.0034,0.0732,0.0036,0.4226,0.0096,0.081,0.0029,0.3405,0.0,0.077,0.004,0.4468,0.0058,7
uncertainty_query_preference_learner,table_clearing,force_damage,unseen_side_effect,0.5204,0.0182,0.0852,0.0032,0.0753,0.0027,0.3905,0.0045,0.0861,0.0038,0.345,0.0,0.0826,0.0021,0.4436,0.0065,7
uncertainty_query_preference_learner,table_clearing,force_damage,combined_stress,0.4915,0.0268,0.0992,0.0038,0.0786,0.0044,0.3969,0.0049,0.0842,0.0023,0.3531,0.0,0.0897,0.0016,0.4306,0.0049,7
uncertainty_query_preference_learner,table_clearing,object_displacement,nominal,0.6071,0.0265,0.0809,0.0017,0.0678,0.002,0.4351,0.0041,0.071,0.0025,0.3247,0.0,0.0467,0.0025,0.4571,0.0068,7
uncertainty_query_preference_learner,table_clearing,object_displacement,seen_shift,0.5561,0.0287,0.0948,0.0039,0.073,0.0027,0.4301,0.0063,0.0774,0.0027,0.3349,0.0,0.0504,0.0027,0.4493,0.0067,7
uncertainty_query_preference_learner,table_clearing,object_displacement,unseen_object,0.5561,0.0373,0.124,0.0028,0.0787,0.0022,0.4135,0.0057,0.0783,0.003,0.34,0.0,0.054,0.0042,0.4461,0.0051,7
uncertainty_query_preference_learner,table_clearing,object_displacement,unseen_side_effect,0.5374,0.0465,0.1095,0.0041,0.0777,0.0029,0.3974,0.0047,0.0837,0.0024,0.3444,0.0,0.058,0.002,0.4453,0.0073,7
uncertainty_query_preference_learner,table_clearing,object_displacement,combined_stress,0.5204,0.0321,0.1263,0.005,0.0815,0.0031,0.394,0.0077,0.0889,0.0024,0.3524,0.0,0.0601,0.0028,0.435,0.0055,7
uncertainty_query_preference_learner,table_clearing,clutter_accumulation,nominal,0.5646,0.0741,0.083,0.003,0.0665,0.0025,0.4435,0.0071,0.0726,0.0027,0.3253,0.0,0.0466,0.0035,0.4664,0.0066,7
uncertainty_query_preference_learner,table_clearing,clutter_accumulation,seen_shift,0.5323,0.0422,0.0995,0.0039,0.073,0.0027,0.4222,0.0126,0.0779,0.0033,0.3356,0.0,0.0507,0.0036,0.4542,0.007,7
uncertainty_query_preference_learner,table_clearing,clutter_accumulation,unseen_object,0.534,0.0339,0.129,0.0036,0.08,0.0033,0.4249,0.0067,0.0802,0.0027,0.3408,0.0,0.0566,0.0029,0.445,0.0056,7
uncertainty_query_preference_learner,table_clearing,clutter_accumulation,unseen_side_effect,0.5374,0.0503,0.1103,0.0031,0.0795,0.0018,0.4021,0.0068,0.0847,0.0034,0.3453,0.0,0.0583,0.002,0.4362,0.005,7
uncertainty_query_preference_learner,table_clearing,clutter_accumulation,combined_stress,0.4677,0.0531,0.1322,0.0031,0.0824,0.0038,0.3976,0.0045,0.0895,0.0036,0.3534,0.0,0.0593,0.003,0.4363,0.0062,7
uncertainty_query_preference_learner,table_clearing,unstable_placement,nominal,0.6207,0.018,0.0719,0.0034,0.0701,0.0036,0.4396,0.0112,0.0717,0.0026,0.3255,0.0,0.0519,0.0029,0.4623,0.0038,7
uncertainty_query_preference_learner,table_clearing,unstable_placement,seen_shift,0.5476,0.0527,0.0884,0.0038,0.0743,0.0028,0.421,0.006,0.0763,0.0024,0.3359,0.0,0.0608,0.0026,0.4507,0.0038,7
uncertainty_query_preference_learner,table_clearing,unstable_placement,unseen_object,0.5867,0.0413,0.1043,0.0039,0.0763,0.0027,0.4148,0.0032,0.0811,0.0021,0.3411,0.0,0.0635,0.0023,0.4416,0.0039,7
uncertainty_query_preference_learner,table_clearing,unstable_placement,unseen_side_effect,0.5289,0.0429,0.1034,0.0039,0.0796,0.003,0.3911,0.0086,0.0832,0.0022,0.3455,0.0,0.0713,0.0021,0.4359,0.0064,7
uncertainty_query_preference_learner,table_clearing,unstable_placement,combined_stress,0.4932,0.0238,0.1193,0.0025,0.0845,0.004,0.3971,0.0111,0.0847,0.0027,0.3537,0.0,0.076,0.0021,0.43,0.0068,7
uncertainty_query_preference_learner,table_clearing,irreversible_change,nominal,0.5867,0.0287,0.0861,0.0053,0.072,0.0038,0.4304,0.0108,0.0721,0.0038,0.3257,0.0,0.0662,0.0025,0.4626,0.0065,7
uncertainty_query_preference_learner,table_clearing,irreversible_change,seen_shift,0.5561,0.0477,0.103,0.004,0.0786,0.004,0.4197,0.0051,0.077,0.0034,0.3361,0.0,0.0742,0.0014,0.4475,0.0045,7
uncertainty_query_preference_learner,table_clearing,irreversible_change,unseen_object,0.5408,0.0377,0.1265,0.0037,0.0852,0.0027,0.4244,0.0092,0.0795,0.0031,0.3414,0.0,0.0791,0.0019,0.4429,0.0057,7
uncertainty_query_preference_learner,table_clearing,irreversible_change,unseen_side_effect,0.4932,0.0123,0.1187,0.0032,0.0826,0.0033,0.3919,0.0035,0.085,0.0022,0.3458,0.0,0.0908,0.0045,0.4382,0.0055,7
uncertainty_query_preference_learner,table_clearing,irreversible_change,combined_stress,0.4592,0.0463,0.1377,0.0028,0.0864,0.003,0.3939,0.0083,0.0871,0.0027,0.3541,0.0,0.0937,0.0018,0.4296,0.0084,7
uncertainty_query_preference_learner,table_clearing,combined_side_effect_stress,nominal,0.5884,0.0461,0.1095,0.0029,0.0817,0.0032,0.4452,0.0083,0.0684,0.0022,0.3268,0.0,0.0728,0.004,0.4636,0.0031,7
uncertainty_query_preference_learner,table_clearing,combined_side_effect_stress,seen_shift,0.5289,0.0363,0.1345,0.003,0.0884,0.0029,0.4277,0.0044,0.0762,0.0056,0.3376,0.0,0.087,0.0025,0.4533,0.0063,7
uncertainty_query_preference_learner,table_clearing,combined_side_effect_stress,unseen_object,0.5102,0.0262,0.1684,0.0039,0.0961,0.003,0.412,0.0083,0.0802,0.0013,0.343,0.0,0.0941,0.003,0.4511,0.0063,7
uncertainty_query_preference_learner,table_clearing,combined_side_effect_stress,unseen_side_effect,0.5391,0.0329,0.1565,0.0035,0.0966,0.0023,0.3907,0.0055,0.0817,0.0023,0.3476,0.0,0.1057,0.0027,0.4445,0.0018,7
uncertainty_query_preference_learner,table_clearing,combined_side_effect_stress,combined_stress,0.4626,0.0257,0.1885,0.0038,0.1021,0.0022,0.3987,0.0075,0.0857,0.0028,0.3561,0.0,0.1089,0.0034,0.4305,0.0031,7
