method,seed,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,regret_to_oracle
risk_calibrated_reward_model,9,200,0.566562,0.007317,0.568287,0.567859,0.006397,0.460348,0.001704,0.075,0.001668,0.06791,0.001647,0.092603,0.237003,0.084524,0.595303,0.09476,0.101098,0.224511
proposed_side_effect_preference_model_v4,0,200,0.603646,0.007094,0.602532,0.624743,0.005832,0.5289,0.001593,0.05389,0.001231,0.058786,0.001379,0.092663,0.22005,0.077968,0.614989,0.079065,0.10693,0.161827
proposed_side_effect_preference_model_v4,1,200,0.601094,0.006828,0.601806,0.622975,0.005796,0.529774,0.001683,0.054313,0.001244,0.057877,0.001354,0.092985,0.22005,0.078037,0.61531,0.079456,0.106512,0.168011
proposed_side_effect_preference_model_v4,2,200,0.604583,0.007831,0.602107,0.626042,0.006619,0.529414,0.001657,0.053565,0.0013,0.058171,0.001343,0.092377,0.22005,0.07798,0.616439,0.079093,0.107026,0.163759
proposed_side_effect_preference_model_v4,3,200,0.598958,0.00692,0.602151,0.621296,0.005891,0.527802,0.001632,0.053479,0.001148,0.058005,0.001414,0.092873,0.22005,0.077656,0.616278,0.079245,0.106821,0.170131
proposed_side_effect_preference_model_v4,4,200,0.60474,0.007439,0.603066,0.625795,0.006232,0.528615,0.001613,0.053963,0.001205,0.058073,0.001376,0.092476,0.22005,0.077933,0.615512,0.079269,0.106992,0.16161
proposed_side_effect_preference_model_v4,5,200,0.594531,0.007337,0.601953,0.61761,0.006105,0.529476,0.001629,0.054353,0.001204,0.05816,0.001383,0.091841,0.22005,0.078249,0.615184,0.079292,0.107122,0.179817
proposed_side_effect_preference_model_v4,6,200,0.604323,0.007475,0.602365,0.625698,0.006329,0.527974,0.001716,0.053047,0.001254,0.057856,0.0014,0.093006,0.22005,0.077928,0.615955,0.079115,0.106977,0.163104
proposed_side_effect_preference_model_v4,7,200,0.605052,0.006989,0.602344,0.62592,0.005795,0.528537,0.001575,0.05377,0.001222,0.058201,0.001335,0.092823,0.22005,0.078483,0.61524,0.079061,0.107067,0.168626
proposed_side_effect_preference_model_v4,8,200,0.607135,0.006911,0.601398,0.627523,0.00588,0.527177,0.001537,0.054179,0.001221,0.057557,0.001415,0.092739,0.22005,0.078143,0.615921,0.079262,0.106841,0.165588
proposed_side_effect_preference_model_v4,9,200,0.605313,0.007121,0.6021,0.626659,0.006045,0.529574,0.001573,0.053608,0.001361,0.057957,0.001462,0.092645,0.22005,0.077643,0.615475,0.079041,0.106512,0.16571
side_effect_causal_preference_model_v5,0,200,0.637917,0.006983,0.638232,0.695809,0.00577,0.597952,0.001553,0.03621,0.000992,0.044876,0.000963,0.073193,0.205205,0.067303,0.714556,0.056821,0.077711,0.090761
side_effect_causal_preference_model_v5,1,200,0.64151,0.006219,0.638781,0.698255,0.005196,0.595517,0.001614,0.036549,0.000971,0.044696,0.000874,0.073055,0.205205,0.067254,0.71494,0.056602,0.077794,0.092731
side_effect_causal_preference_model_v5,2,200,0.639427,0.007299,0.638612,0.696569,0.006108,0.596617,0.001499,0.036603,0.000952,0.045075,0.00092,0.073183,0.205205,0.067545,0.71409,0.056555,0.077323,0.093232
side_effect_causal_preference_model_v5,3,200,0.635052,0.00676,0.638851,0.693114,0.005477,0.595587,0.001558,0.036444,0.00103,0.044578,0.000977,0.07321,0.205205,0.06693,0.713956,0.056618,0.07741,0.098314
side_effect_causal_preference_model_v5,4,200,0.635052,0.006943,0.638363,0.693168,0.005704,0.596592,0.001542,0.036175,0.00095,0.045421,0.000958,0.073459,0.205205,0.067224,0.714303,0.056366,0.077291,0.094237
side_effect_causal_preference_model_v5,5,200,0.638854,0.007455,0.637887,0.696007,0.006133,0.595712,0.001614,0.036736,0.000975,0.044761,0.000933,0.072993,0.205205,0.067092,0.713815,0.056963,0.077258,0.101421
side_effect_causal_preference_model_v5,6,200,0.640521,0.00717,0.63897,0.69773,0.005897,0.595928,0.001538,0.035743,0.000942,0.045,0.000926,0.073307,0.205205,0.066955,0.714415,0.056506,0.077202,0.091072
side_effect_causal_preference_model_v5,7,200,0.640469,0.006503,0.638631,0.697364,0.005414,0.595795,0.001712,0.036931,0.000933,0.04504,0.000945,0.073126,0.205205,0.066569,0.714288,0.056512,0.076985,0.097182
side_effect_causal_preference_model_v5,8,200,0.640938,0.006422,0.639253,0.69761,0.005285,0.595844,0.001585,0.036463,0.000894,0.044956,0.000966,0.073462,0.205205,0.067526,0.713989,0.056753,0.077754,0.095501
side_effect_causal_preference_model_v5,9,200,0.640365,0.006522,0.638685,0.697289,0.005289,0.597154,0.001491,0.036804,0.000922,0.045301,0.00094,0.073118,0.205205,0.067765,0.714106,0.056268,0.077435,0.095081
oracle_human_side_effect_judge,0,200,0.710104,0.006521,0.717053,0.78657,0.005351,0.635697,0.001623,0.017531,0.000767,0.030964,0.000699,0.055636,0.191031,0.057472,0.790246,0.042709,0.060315,0.0
oracle_human_side_effect_judge,1,200,0.716406,0.006531,0.716282,0.790986,0.005308,0.634982,0.001478,0.018044,0.000726,0.031423,0.000635,0.055813,0.191031,0.057825,0.789277,0.042953,0.060372,0.0
oracle_human_side_effect_judge,2,200,0.714531,0.007,0.715774,0.789802,0.005687,0.63338,0.00161,0.017498,0.000713,0.030606,0.000648,0.055524,0.191031,0.057551,0.790151,0.042765,0.06002,0.0
oracle_human_side_effect_judge,3,200,0.716667,0.006955,0.716694,0.791427,0.005615,0.635466,0.001617,0.017709,0.000766,0.03158,0.000618,0.055656,0.191031,0.057768,0.789749,0.04272,0.060582,0.0
oracle_human_side_effect_judge,4,200,0.711875,0.006619,0.716483,0.787405,0.005411,0.633147,0.001595,0.017546,0.000753,0.030939,0.000717,0.055978,0.191031,0.057934,0.790478,0.043016,0.060421,0.0
oracle_human_side_effect_judge,5,200,0.72375,0.006885,0.717612,0.797427,0.005623,0.634646,0.001492,0.017241,0.000731,0.030969,0.000579,0.055702,0.191031,0.057423,0.790584,0.042583,0.060371,0.0
oracle_human_side_effect_judge,6,200,0.713594,0.006259,0.715831,0.788802,0.005047,0.634124,0.001522,0.017902,0.000719,0.031441,0.000632,0.055551,0.191031,0.057531,0.790407,0.04293,0.060588,0.0
oracle_human_side_effect_judge,7,200,0.720208,0.006609,0.716528,0.794547,0.005359,0.634522,0.001662,0.017504,0.00074,0.031006,0.000608,0.055547,0.191031,0.057301,0.790379,0.042264,0.060077,0.0
oracle_human_side_effect_judge,8,200,0.71849,0.006421,0.716716,0.793111,0.005245,0.634772,0.001672,0.017123,0.000759,0.031258,0.000622,0.055972,0.191031,0.057444,0.789545,0.042095,0.060163,0.0
oracle_human_side_effect_judge,9,200,0.71724,0.006301,0.716846,0.792369,0.00514,0.635251,0.00149,0.016948,0.000708,0.0307,0.000614,0.056015,0.191031,0.057585,0.79018,0.042638,0.060511,0.0
